"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Sheet","FileName","Url","Column","Row"
"0","insertValue","2019-02-21T06:50:41.050Z","userID","ID1743","Web","complete",,,,,
"0","openFile","2019-02-21T06:50:41.050Z",,,"Excel","complete","Sheet1","data.xls",,,
"0","goToUrl","2019-02-21T06:50:46.820Z",,,"Web","complete",,,"www.webpage.com",,
"0","insertValue","2019-02-21T06:50:59.171Z","username","Frank01","Web","complete",,,,,
"0","insertValue","2019-02-21T06:51:11.036Z","password","LittleFrank123","Web","complete",,,,,
"0","clickButton","2019-02-21T06:51:21.927Z","confirm",,"Web","complete",,,,,
"0","waitResponse","2019-02-21T06:51:24.363Z",,,"Web","complete",,,"www.webpage.com/ok",,
"0","clickButton","2019-02-21T06:51:40.159Z","Button1",,"Web","complete",,,,,
"0","clickButton","2019-02-21T06:51:43.599Z","B2",,"Web","complete",,,,,
"0","insertValue","2019-02-21T06:51:47.509Z","Constant","182381","Web","complete",,,,,
"0","copy","2019-02-21T06:51:50.362Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"0","paste","2019-02-21T06:51:53.643Z","Special code","Au 58124829 XT","Web","complete",,,,,
"0","copy","2019-02-21T06:51:55.736Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"0","paste","2019-02-21T06:51:57.940Z","Area","Melbourne 123","Web","complete",,,,,
"0","clickButton","2019-02-21T06:52:01.463Z","OK",,"Web","complete",,,,,
"1","insertValue","2019-02-21T06:52:11.463Z","userID","ID206","Web","complete",,,,,
"1","openFile","2019-02-21T06:52:17.149Z",,,"Excel","complete","Sheet1","data.xls",,,
"1","goToUrl","2019-02-21T06:52:31.319Z",,,"Web","complete",,,"www.webpage.com",,
"1","insertValue","2019-02-21T06:52:41.406Z","username","Frank01","Web","complete",,,,,
"1","insertValue","2019-02-21T06:52:44.349Z","password","LittleFrank123","Web","complete",,,,,
"1","clickButton","2019-02-21T06:52:50.964Z","confirm",,"Web","complete",,,,,
"1","waitResponse","2019-02-21T06:52:54.688Z",,,"Web","complete",,,"www.webpage.com/ok",,
"1","clickButton","2019-02-21T06:53:05.000Z","Button1",,"Web","complete",,,,,
"1","clickButton","2019-02-21T06:53:08.046Z","B2",,"Web","complete",,,,,
"1","insertValue","2019-02-21T06:53:11.990Z","Constant","182381","Web","complete",,,,,
"1","copy","2019-02-21T06:53:17.191Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"1","paste","2019-02-21T06:53:21.157Z","Special code","Au 58124829 XT","Web","complete",,,,,
"1","copy","2019-02-21T06:53:23.798Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"1","paste","2019-02-21T06:53:26.113Z","Area","Melbourne 123","Web","complete",,,,,
"1","clickButton","2019-02-21T06:53:28.748Z","OK",,"Web","complete",,,,,
