"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Column","Row","Sheet","FileName","Url","Found"
"0","insertValue","2019-03-05T11:42:31.306Z","value1","value336","Web","complete",,,,,,
"0","insertValue","2019-03-05T11:42:31.306Z","code","26","Web","complete",,,,,,
"0","clickButton","2019-03-05T11:42:37.076Z","B6",,"Web","complete",,,,,,
"0","clickButton","2019-03-05T11:42:39.708Z","open",,"Web","complete",,,,,,
"0","copy","2019-03-05T11:42:40.664Z","code","26","Web","complete",,,,,,
"0","paste","2019-03-05T11:42:43.656Z","name","26","Excel","complete","B","672",,,,
"0","clickButton","2019-03-05T11:42:46.144Z","cancel",,"Web","complete",,,,,,
"0","clickButton","2019-03-05T11:42:50.704Z","OK",,"Web","complete",,,,,,
"1","insertValue","2019-03-05T11:43:00.704Z","value1","value1082","Web","complete",,,,,,
"1","insertValue","2019-03-05T11:43:10.901Z","code","26","Web","complete",,,,,,
"1","clickButton","2019-03-05T11:43:18.160Z","B6",,"Web","complete",,,,,,
"1","clickButton","2019-03-05T11:43:20.988Z","open",,"Web","complete",,,,,,
"1","openFile","2019-03-05T11:43:23.544Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"1","copy","2019-03-05T11:43:26.040Z","code","26","Web","complete",,,,,,
"1","paste","2019-03-05T11:43:27.868Z","name","26","Excel","complete","B","853",,,,
"1","goToUrl","2019-03-05T11:43:31.517Z",,,"Web","complete",,,,,"www.webpage.com",
"1","clickButton","2019-03-05T11:43:32.203Z","OK",,"Web","complete",,,,,,
"2","insertValue","2019-03-05T11:43:42.203Z","value1","value939","Web","complete",,,,,,
"2","insertValue","2019-03-05T11:43:47.851Z","code","38","Web","complete",,,,,,
"2","clickButton","2019-03-05T11:43:54.466Z","B6",,"Web","complete",,,,,,
"2","goToUrl","2019-03-05T11:43:58.190Z",,,"Web","complete",,,,,"www.webpage2.com",
"2","clickButton","2019-03-05T11:44:15.354Z","open",,"Web","complete",,,,,,
"2","openFile","2019-03-05T11:44:16.982Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"2","findValue","2019-03-05T11:44:22.681Z",,"name81","Excel","complete",,,,,,"true"
"2","clickButton","2019-03-05T11:44:26.690Z","add",,"Web","complete",,,,,,
"2","clickButton","2019-03-05T11:44:28.129Z","OK",,"Web","complete",,,,,,
"3","insertValue","2019-03-05T11:44:38.129Z","value1","value344","Web","complete",,,,,,
"3","insertValue","2019-03-05T11:44:41.309Z","code","45","Web","complete",,,,,,
"3","clickButton","2019-03-05T11:44:45.880Z","B7",,"Web","complete",,,,,,
"3","clickButton","2019-03-05T11:44:48.515Z","open",,"Web","complete",,,,,,
"3","copy","2019-03-05T11:44:51.111Z","code","45","Web","complete",,,,,,
"3","paste","2019-03-05T11:44:55.222Z","name","45","Excel","complete","B","1774",,,,
"3","clickButton","2019-03-05T11:44:59.446Z","add",,"Web","complete",,,,,,
"3","clickButton","2019-03-05T11:45:01.803Z","OK",,"Web","complete",,,,,,
"4","insertValue","2019-03-05T11:45:11.803Z","value1","value1043","Web","complete",,,,,,
"4","insertValue","2019-03-05T11:45:21.717Z","code","27","Web","complete",,,,,,
"4","clickButton","2019-03-05T11:45:27.406Z","B7",,"Web","complete",,,,,,
"4","clickButton","2019-03-05T11:45:29.756Z","open",,"Web","complete",,,,,,
"4","copy","2019-03-05T11:45:30.970Z","code","27","Web","complete",,,,,,
"4","paste","2019-03-05T11:45:34.705Z","name","27","Excel","complete","B","461",,,,
"4","clickButton","2019-03-05T11:45:37.195Z","add",,"Web","complete",,,,,,
"4","clickButton","2019-03-05T11:45:40.495Z","OK",,"Web","complete",,,,,,
"5","insertValue","2019-03-05T11:45:50.495Z","value1","value1919","Web","complete",,,,,,
"5","insertValue","2019-03-05T11:45:54.514Z","code","23","Web","complete",,,,,,
"5","clickButton","2019-03-05T11:46:00.964Z","B7",,"Web","complete",,,,,,
"5","clickButton","2019-03-05T11:46:03.557Z","open",,"Web","complete",,,,,,
"5","openFile","2019-03-05T11:46:06.289Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"5","findValue","2019-03-05T11:46:08.334Z",,"name24","Excel","complete",,,,,,"false"
"5","clickButton","2019-03-05T11:46:10.988Z","cancel",,"Web","complete",,,,,,
"5","clickButton","2019-03-05T11:46:13.077Z","OK",,"Web","complete",,,,,,
"6","insertValue","2019-03-05T11:46:23.077Z","value1","value430","Web","complete",,,,,,
"6","insertValue","2019-03-05T11:46:25.937Z","code","18","Web","complete",,,,,,
"6","clickButton","2019-03-05T11:46:34.942Z","B6",,"Web","complete",,,,,,
