"caseID","eventType","timeStamp","Label","source","lifecycle:transition","Value","Key","ref","FilePath","FileExtension","NameFile","Column","Row"
"0","clickButton","2019-03-05T11:48:28.666Z","Clients","Web","complete",,,,,,,,
"0","insertValue","2019-03-05T11:48:31.475Z","clientID","Web","complete","ID846",,,,,,,
"0","pressKey","2019-03-05T11:48:47.800Z",,"Web","complete",,"enter",,,,,,
"0","clickButton","2019-03-05T11:48:49.842Z","update","Web","complete",,,"ID846",,,,,
"0","insertValue","2019-03-05T11:48:53.780Z","address","Web","complete","addA941addB1938",,,,,,,
"0","insertValue","2019-03-05T11:48:59.467Z","country","Web","complete","Country169",,,,,,,
"0","clickButton","2019-03-05T11:49:09.894Z","UnbindFile","Web","complete",,,,,,,,
"0","clickButton","2019-03-05T11:49:13.007Z","OK","Web","complete",,,,,,,,
"0","clickButton","2019-03-05T11:49:16.589Z","Confirm","Web","complete",,,,,,,,
"1","clickButton","2019-03-05T11:49:29.456Z","Clients","Web","complete",,,,,,,,
"1","insertValue","2019-03-05T11:49:34.006Z","clientID","Web","complete","ID415",,,,,,,
"1","pressKey","2019-03-05T11:49:51.218Z",,"Web","complete",,"enter",,,,,,
"1","clickButton","2019-03-05T11:49:54.569Z","update","Web","complete",,,"ID415",,,,,
"1","insertValue","2019-03-05T11:49:58.732Z","address","Web","complete","addA1013addB567",,,,,,,
"1","insertValue","2019-03-05T11:50:12.987Z","country","Web","complete","Country183",,,,,,,
"1","clickButton","2019-03-05T11:50:19.104Z","UnbindFile","Web","complete",,,,,,,,
"1","clickButton","2019-03-05T11:50:21.319Z","OK","Web","complete",,,,,,,,
"1","clickButton","2019-03-05T11:50:24.127Z","Confirm","Web","complete",,,,,,,,
"2","clickButton","2019-03-05T11:50:36.999Z","Clients","Web","complete",,,,,,,,
"2","insertValue","2019-03-05T11:50:38.647Z","clientID","Web","complete","ID1113",,,,,,,
"2","pressKey","2019-03-05T11:50:45.215Z",,"Web","complete",,"enter",,,,,,
"2","clickButton","2019-03-05T11:50:48.613Z","update","Web","complete",,,"ID1113",,,,,
"2","insertValue","2019-03-05T11:50:51.115Z","address","Web","complete","addA746addB190",,,,,,,
"2","insertValue","2019-03-05T11:51:02.641Z","country","Web","complete","Australia",,,,,,,
"2","openFile","2019-03-05T11:51:15.611Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1113",,
"2","copy","2019-03-05T11:51:16.642Z","address","Web","complete","addB190",,,,,,,
"2","paste","2019-03-05T11:51:23.178Z",,"Excel","complete","addB190",,,,,,"A","5"
"2","saveFile","2019-03-05T11:51:27.440Z","save","Excel","complete",,,,,,,,
