"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Column","Row","Url","Sheet","FileName","Found"
"0","insertValue","2019-03-07T08:42:12.607Z","name","name720","Web","complete",,,,,,
"0","insertValue","2019-03-07T08:42:12.607Z","surname","surname720","Web","complete",,,,,,
"0","insertValue","2019-03-07T08:42:18.377Z","age","25","Web","complete",,,,,,
"0","insertValue","2019-03-07T08:42:24.537Z","type","1","Web","complete",,,,,,
"0","clickButton","2019-03-07T08:42:24.537Z","B1",,"Web","complete",,,,,,
"0","insertValue","2019-03-07T08:42:27.529Z",,"4752","Excel","complete","B","30",,,,
"0","goToUrl","2019-03-07T08:42:32.967Z",,,"Web","complete",,,"www.webpage2.com",,,
"0","copy","2019-03-07T08:42:48.763Z","value2","value4752","Web","complete",,,,,,
"0","paste","2019-03-07T08:42:52.203Z",,"vaue4752","Excel","complete","C","2",,,,
"0","paste","2019-03-07T08:42:56.113Z","finalCode","vaue4752","Web","complete",,,,,,
"0","clickButton","2019-03-07T08:42:58.966Z","OK",,"Web","complete",,,,,,
"1","insertValue","2019-03-07T08:43:08.966Z","name","name2570","Web","complete",,,,,,
"1","insertValue","2019-03-07T08:43:18.368Z","surname","surname2570","Web","complete",,,,,,
"1","insertValue","2019-03-07T08:43:21.832Z","age","25","Web","complete",,,,,,
"1","insertValue","2019-03-07T08:43:23.970Z","type","4","Web","complete",,,,,,
"1","clickButton","2019-03-07T08:43:35.212Z","B4",,"Web","complete",,,,,,
"1","openFile","2019-03-07T08:43:36.750Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"1","findValue","2019-03-07T08:43:39.280Z",,"3608","Excel","complete",,,,,,"true"
"1","copy","2019-03-07T08:43:42.242Z",,"value2570","Excel","complete","B","1",,,,
"1","paste","2019-03-07T08:43:44.599Z","finalCode","vaue2570","Web","complete",,,,,,
"1","clickButton","2019-03-07T08:43:48.976Z","Cancel",,"Web","complete",,,,,,
"2","insertValue","2019-03-07T08:43:58.976Z","name","name692","Web","complete",,,,,,
"2","insertValue","2019-03-07T08:44:10.363Z","surname","surname692","Web","complete",,,,,,
"2","insertValue","2019-03-07T08:44:20.675Z","age","28","Web","complete",,,,,,
"2","insertValue","2019-03-07T08:44:28.905Z","type","3","Web","complete",,,,,,
"2","clickButton","2019-03-07T08:44:29.097Z","B4",,"Web","complete",,,,,,
"2","openFile","2019-03-07T08:44:31.133Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"2","findValue","2019-03-07T08:44:34.111Z",,"2224","Excel","complete",,,,,,"false"
"2","copy","2019-03-07T08:44:36.770Z",,"value692","Excel","complete","B","1",,,,
"2","paste","2019-03-07T08:44:38.723Z","finalCode","vaue692","Web","complete",,,,,,
"2","clickButton","2019-03-07T08:44:41.740Z","OK",,"Web","complete",,,,,,
"3","insertValue","2019-03-07T08:44:51.740Z","name","name2855","Web","complete",,,,,,
"3","insertValue","2019-03-07T08:44:53.979Z","surname","surname2855","Web","complete",,,,,,
"3","insertValue","2019-03-07T08:45:07.085Z","age","47","Web","complete",,,,,,
"3","insertValue","2019-03-07T08:45:16.999Z","type","2","Web","complete",,,,,,
"3","clickButton","2019-03-07T08:45:22.688Z","B1",,"Web","complete",,,,,,
"3","insertValue","2019-03-07T08:45:26.293Z",,"4478","Excel","complete","B","40",,,,
"3","goToUrl","2019-03-07T08:45:39.344Z",,,"Web","complete",,,"www.webpage2.com",,,
"3","copy","2019-03-07T08:45:45.288Z","value2","value4478","Web","complete",,,,,,
"3","paste","2019-03-07T08:45:47.540Z","finalCode","vaue4478","Web","complete",,,,,,
"3","clickButton","2019-03-07T08:45:50.392Z","Cancel",,"Web","complete",,,,,,
"4","insertValue","2019-03-07T08:46:00.392Z","name","name2808","Web","complete",,,,,,
"4","insertValue","2019-03-07T08:46:06.264Z","surname","surname2808","Web","complete",,,,,,
"4","insertValue","2019-03-07T08:46:12.983Z","age","46","Web","complete",,,,,,
"4","insertValue","2019-03-07T08:46:17.972Z","type","1","Web","complete",,,,,,
"4","clickButton","2019-03-07T08:46:22.391Z","B1",,"Web","complete",,,,,,
"4","insertValue","2019-03-07T08:46:24.792Z",,"4427","Excel","complete","B","18",,,,
"4","goToUrl","2019-03-07T08:46:29.778Z",,,"Web","complete",,,"www.webpage2.com",,,
"4","copy","2019-03-07T08:46:34.898Z","value2","value4427","Web","complete",,,,,,
"4","paste","2019-03-07T08:46:37.141Z","finalCode","vaue4427","Web","complete",,,,,,
"4","clickButton","2019-03-07T08:46:39.739Z","OK",,"Web","complete",,,,,,
"5","insertValue","2019-03-07T08:46:49.739Z","name","name1230","Web","complete",,,,,,
"5","insertValue","2019-03-07T08:46:53.749Z","surname","surname1230","Web","complete",,,,,,
"5","insertValue","2019-03-07T08:47:06.430Z","age","24","Web","complete",,,,,,
"5","insertValue","2019-03-07T08:47:16.827Z","type","3","Web","complete",,,,,,
"5","clickButton","2019-03-07T08:47:32.126Z","B4",,"Web","complete",,,,,,
"5","goToUrl","2019-03-07T08:47:35.304Z",,,"Web","complete",,,"www.webpage.com",,,
"5","clickButton","2019-03-07T08:47:39.921Z","B5",,"Web","complete",,,,,,
"5","insertValue","2019-03-07T08:47:46.597Z","valueX","valuex1230","Web","complete",,,,,,
"5","clickButton","2019-03-07T08:47:47.884Z","Cancel",,"Web","complete",,,,,,
"6","insertValue","2019-03-07T08:47:57.884Z","name","name2107","Web","complete",,,,,,
"6","insertValue","2019-03-07T08:48:06.300Z","surname","surname2107","Web","complete",,,,,,
"6","insertValue","2019-03-07T08:48:15.502Z","age","27","Web","complete",,,,,,
"6","insertValue","2019-03-07T08:48:24.074Z","type","1","Web","complete",,,,,,
"6","clickButton","2019-03-07T08:48:34.864Z","B1",,"Web","complete",,,,,,
"6","insertValue","2019-03-07T08:48:37.623Z",,"3097","Excel","complete","B","8",,,,
"6","goToUrl","2019-03-07T08:48:42.203Z",,,"Web","complete",,,"www.webpage2.com",,,
"6","copy","2019-03-07T08:48:51.707Z","value2","value3097","Web","complete",,,,,,
"6","paste","2019-03-07T08:48:55.199Z","finalCode","vaue3097","Web","complete",,,,,,
"6","clickButton","2019-03-07T08:48:56.905Z","OK",,"Web","complete",,,,,,
"7","insertValue","2019-03-07T08:49:06.905Z","name","name257","Web","complete",,,,,,
"7","insertValue","2019-03-07T08:49:18.057Z","surname","surname257","Web","complete",,,,,,
"7","insertValue","2019-03-07T08:49:26.275Z","age","29","Web","complete",,,,,,
"7","insertValue","2019-03-07T08:49:33.676Z","type","1","Web","complete",,,,,,
"7","clickButton","2019-03-07T08:49:38.139Z","B1",,"Web","complete",,,,,,
"7","insertValue","2019-03-07T08:49:40.230Z",,"3147","Excel","complete","B","2",,,,
"7","goToUrl","2019-03-07T08:49:45.625Z",,,"Web","complete",,,"www.webpage2.com",,,
"7","copy","2019-03-07T08:49:48.833Z","value2","value3147","Web","complete",,,,,,
"7","paste","2019-03-07T08:49:52.741Z",,"vaue3147","Excel","complete","C","2",,,,
"7","paste","2019-03-07T08:49:54.118Z","finalCode","vaue3147","Web","complete",,,,,,
"7","clickButton","2019-03-07T08:49:57.548Z","OK",,"Web","complete",,,,,,
"8","insertValue","2019-03-07T08:50:07.548Z","name","name2491","Web","complete",,,,,,
"8","insertValue","2019-03-07T08:50:20.426Z","surname","surname2491","Web","complete",,,,,,
"8","insertValue","2019-03-07T08:50:26.641Z","age","21","Web","complete",,,,,,
"8","insertValue","2019-03-07T08:50:27.543Z","type","3","Web","complete",,,,,,
"8","clickButton","2019-03-07T08:50:46.268Z","B4",,"Web","complete",,,,,,
"8","openFile","2019-03-07T08:50:49.582Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"8","findValue","2019-03-07T08:50:52.275Z",,"1248","Excel","complete",,,,,,"false"
"8","copy","2019-03-07T08:50:56.702Z",,"value2491","Excel","complete","B","1",,,,
"8","paste","2019-03-07T08:50:59.496Z","finalCode","vaue2491","Web","complete",,,,,,
"8","clickButton","2019-03-07T08:51:02.808Z","OK",,"Web","complete",,,,,,
"9","insertValue","2019-03-07T08:51:12.808Z","name","name2975","Web","complete",,,,,,
"9","insertValue","2019-03-07T08:51:14.142Z","surname","surname2975","Web","complete",,,,,,
"9","insertValue","2019-03-07T08:51:20.073Z","age","22","Web","complete",,,,,,
"9","insertValue","2019-03-07T08:51:29.013Z","type","1","Web","complete",,,,,,
"9","clickButton","2019-03-07T08:51:40.299Z","B1",,"Web","complete",,,,,,
"9","insertValue","2019-03-07T08:51:42.208Z",,"1447","Excel","complete","B","14",,,,
"9","goToUrl","2019-03-07T08:51:45.996Z",,,"Web","complete",,,"www.webpage2.com",,,
"9","copy","2019-03-07T08:51:46.889Z","value2","value1447","Web","complete",,,,,,
"9","paste","2019-03-07T08:51:48.850Z","finalCode","vaue1447","Web","complete",,,,,,
"9","clickButton","2019-03-07T08:51:51.903Z","OK",,"Web","complete",,,,,,
"10","insertValue","2019-03-07T08:52:01.903Z","name","name2822","Web","complete",,,,,,
"10","insertValue","2019-03-07T08:52:14.015Z","surname","surname2822","Web","complete",,,,,,
"10","insertValue","2019-03-07T08:52:24.929Z","age","23","Web","complete",,,,,,
"10","insertValue","2019-03-07T08:52:28.782Z","type","3","Web","complete",,,,,,
"10","clickButton","2019-03-07T08:52:47.021Z","B4",,"Web","complete",,,,,,
"10","goToUrl","2019-03-07T08:52:49.523Z",,,"Web","complete",,,"www.webpage.com",,,
"10","clickButton","2019-03-07T08:52:51.505Z","B5",,"Web","complete",,,,,,
"10","insertValue","2019-03-07T08:52:51.505Z","valueX","valuex2822","Web","complete",,,,,,
"10","clickButton","2019-03-07T08:52:53.472Z","Cancel",,"Web","complete",,,,,,
"11","insertValue","2019-03-07T08:53:03.472Z","name","name2569","Web","complete",,,,,,
"11","insertValue","2019-03-07T08:53:03.472Z","surname","surname2569","Web","complete",,,,,,
"11","insertValue","2019-03-07T08:53:16.326Z","age","25","Web","complete",,,,,,
"11","insertValue","2019-03-07T08:53:20.875Z","type","1","Web","complete",,,,,,
"11","clickButton","2019-03-07T08:53:36.194Z","B1",,"Web","complete",,,,,,
"11","insertValue","2019-03-07T08:53:41.467Z",,"2189","Excel","complete","B","8",,,,
"11","goToUrl","2019-03-07T08:53:57.013Z",,,"Web","complete",,,"www.webpage2.com",,,
"11","copy","2019-03-07T08:54:09.435Z","value2","value2189","Web","complete",,,,,,
"11","paste","2019-03-07T08:54:13.302Z",,"vaue2189","Excel","complete","C","2",,,,
