"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Sheet","FileName","Found","Column","Row","Url"
"0","insertValue","2019-03-05T15:40:08.163Z","name","name273","Web","complete",,,,,,
"0","insertValue","2019-03-05T15:40:08.163Z","surname","surname273","Web","complete",,,,,,
"0","insertValue","2019-03-05T15:40:13.933Z","age","29","Web","complete",,,,,,
"0","insertValue","2019-03-05T15:40:20.093Z","type","3","Web","complete",,,,,,
"0","clickButton","2019-03-05T15:40:20.093Z","B4",,"Web","complete",,,,,,
"0","openFile","2019-03-05T15:40:23.085Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"0","findValue","2019-03-05T15:40:25.573Z",,"4808","Excel","complete",,,"false",,,
"0","copy","2019-03-05T15:40:30.133Z",,"value273","Excel","complete",,,,"B","1",
"0","paste","2019-03-05T15:40:33.573Z","finalCode","vaue273","Web","complete",,,,,,
"0","clickButton","2019-03-05T15:40:37.483Z","OK",,"Web","complete",,,,,,
"1","insertValue","2019-03-05T15:40:47.483Z","name","name2971","Web","complete",,,,,,
"1","insertValue","2019-03-05T15:40:54.745Z","surname","surname2971","Web","complete",,,,,,
"1","insertValue","2019-03-05T15:41:04.147Z","age","27","Web","complete",,,,,,
"1","insertValue","2019-03-05T15:41:07.611Z","type","1","Web","complete",,,,,,
"1","clickButton","2019-03-05T15:41:09.749Z","B4",,"Web","complete",,,,,,
"1","openFile","2019-03-05T15:41:13.398Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"1","findValue","2019-03-05T15:41:14.936Z",,"1770","Excel","complete",,,"true",,,
"1","copy","2019-03-05T15:41:17.466Z",,"value2971","Excel","complete",,,,"B","1",
"1","paste","2019-03-05T15:41:20.428Z",,"vaue2971","Excel","complete",,,,"C","2",
"1","paste","2019-03-05T15:41:22.785Z","finalCode","vaue2971","Web","complete",,,,,,
"1","clickButton","2019-03-05T15:41:27.162Z","Cancel",,"Web","complete",,,,,,
"2","insertValue","2019-03-05T15:41:37.162Z","name","name2838","Web","complete",,,,,,
"2","insertValue","2019-03-05T15:41:48.549Z","surname","surname2838","Web","complete",,,,,,
"2","insertValue","2019-03-05T15:41:58.861Z","age","28","Web","complete",,,,,,
"2","insertValue","2019-03-05T15:42:07.091Z","type","2","Web","complete",,,,,,
"2","clickButton","2019-03-05T15:42:07.283Z","B4",,"Web","complete",,,,,,
"2","openFile","2019-03-05T15:42:09.319Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"2","findValue","2019-03-05T15:42:12.297Z",,"1322","Excel","complete",,,"true",,,
"2","copy","2019-03-05T15:42:14.956Z",,"value2838","Excel","complete",,,,"B","1",
"2","paste","2019-03-05T15:42:16.909Z","finalCode","vaue2838","Web","complete",,,,,,
"2","clickButton","2019-03-05T15:42:19.926Z","Cancel",,"Web","complete",,,,,,
"3","insertValue","2019-03-05T15:42:29.926Z","name","name1029","Web","complete",,,,,,
"3","insertValue","2019-03-05T15:42:32.165Z","surname","surname1029","Web","complete",,,,,,
"3","insertValue","2019-03-05T15:42:45.271Z","age","47","Web","complete",,,,,,
"3","insertValue","2019-03-05T15:42:55.185Z","type","3","Web","complete",,,,,,
"3","clickButton","2019-03-05T15:43:00.874Z","B4",,"Web","complete",,,,,,
"3","goToUrl","2019-03-05T15:43:04.479Z",,,"Web","complete",,,,,,"www.webpage.com"
"3","clickButton","2019-03-05T15:43:08.490Z","B5",,"Web","complete",,,,,,
"3","insertValue","2019-03-05T15:43:14.434Z","valueX","valuex1029","Web","complete",,,,,,
"3","clickButton","2019-03-05T15:43:16.686Z","Cancel",,"Web","complete",,,,,,
"4","insertValue","2019-03-05T15:43:26.686Z","name","name234","Web","complete",,,,,,
"4","insertValue","2019-03-05T15:43:33.942Z","surname","surname234","Web","complete",,,,,,
"4","insertValue","2019-03-05T15:43:39.814Z","age","30","Web","complete",,,,,,
"4","insertValue","2019-03-05T15:43:50.927Z","type","3","Web","complete",,,,,,
"4","clickButton","2019-03-05T15:43:55.901Z","B4",,"Web","complete",,,,,,
"4","goToUrl","2019-03-05T15:43:58.185Z",,,"Web","complete",,,,,,"www.webpage.com"
"4","clickButton","2019-03-05T15:44:00.586Z","B5",,"Web","complete",,,,,,
"4","insertValue","2019-03-05T15:44:05.572Z","valueX","valuex234","Web","complete",,,,,,
"4","clickButton","2019-03-05T15:44:07.996Z","OK",,"Web","complete",,,,,,
"5","insertValue","2019-03-05T15:44:17.996Z","name","name2325","Web","complete",,,,,,
"5","insertValue","2019-03-05T15:44:22.209Z","surname","surname2325","Web","complete",,,,,,
"5","insertValue","2019-03-05T15:44:28.198Z","age","22","Web","complete",,,,,,
