"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Key","ref","Sheet","FileName","Column","Row","Url","FilePath","FileExtension","NameFile","Found"
"0","insertValue","2019-03-07T13:09:41.061Z","name","name433","Web","complete",,,,,,,,,,,
"0","insertValue","2019-03-07T13:09:52.885Z","surname","surname433","Web","complete",,,,,,,,,,,
"0","insertValue","2019-03-07T13:09:57.136Z","age","age18","Web","complete",,,,,,,,,,,
"0","insertValue","2019-03-07T13:10:09.298Z","type","T3","Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:10:23.120Z","confirm",,"Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:10:25.712Z","B4",,"Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:10:29.528Z","Clients",,"Web","complete",,,,,,,,,,,
"0","insertValue","2019-03-07T13:10:32.569Z","clientID","ID433","Web","complete",,,,,,,,,,,
"0","pressKey","2019-03-07T13:10:37.784Z",,,"Web","complete","enter",,,,,,,,,,
"0","clickButton","2019-03-07T13:10:38.465Z","update",,"Web","complete",,"ID433",,,,,,,,,
"0","insertValue","2019-03-07T13:10:41.006Z","address","addA3761addB3740","Web","complete",,,,,,,,,,,
"0","insertValue","2019-03-07T13:10:47.527Z","country","Country149","Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:10:56.177Z","UnbindFile",,"Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:10:59.304Z","OK",,"Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:11:02.188Z","Confirm",,"Web","complete",,,,,,,,,,,
"0","clickButton","2019-03-07T13:11:04.450Z","OK",,"Web","complete",,,,,,,,,,,
"1","insertValue","2019-03-07T13:11:14.450Z","name","name3725","Web","complete",,,,,,,,,,,
"1","insertValue","2019-03-07T13:11:24.798Z","surname","surname3725","Web","complete",,,,,,,,,,,
"1","insertValue","2019-03-07T13:11:35.386Z","age","age45","Web","complete",,,,,,,,,,,
"1","insertValue","2019-03-07T13:11:35.859Z","type","T4","Web","complete",,,,,,,,,,,
"1","clickButton","2019-03-07T13:11:38.299Z","confirm",,"Web","complete",,,,,,,,,,,
"1","clickButton","2019-03-07T13:11:42.324Z","B5",,"Web","complete",,,,,,,,,,,
"1","insertBoolValue","2019-03-07T13:11:46.188Z","Australian","false","Web","complete",,,,,,,,,,,
